Date,Country,City,Specie,count,min,max,median,variance
2024-04-11,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-05-17,BR,São José dos Campos,temperature,91,18.0,32.0,24.0,213.35
2024-05-23,BR,São José dos Campos,temperature,91,15.0,29.0,20.0,241.46
2024-05-27,BR,São José dos Campos,temperature,96,15.0,19.0,17.0,16.84
2024-05-01,BR,São José dos Campos,temperature,81,0.0,32.0,22.0,1519.34
2024-06-05,BR,São José dos Campos,temperature,96,16.0,24.0,18.0,70.16
2024-01-22,BR,São José dos Campos,temperature,96,19.0,26.0,20.5,47.12
2024-02-19,BR,São José dos Campos,temperature,69,18.0,30.0,23.0,159.48
2024-02-27,BR,São José dos Campos,temperature,96,21.0,32.0,26.0,139.51
2024-03-12,BR,São José dos Campos,temperature,96,17.0,27.0,21.0,95.77
2024-03-21,BR,São José dos Campos,temperature,63,21.0,33.0,28.0,180.33
2024-04-23,BR,São José dos Campos,temperature,96,0.0,28.0,0.0,838.7
2024-06-21,BR,São José dos Campos,temperature,96,9.0,26.0,17.0,269.16
2024-08-10,BR,São José dos Campos,temperature,96,7.0,13.0,11.0,26.51
2024-09-19,BR,São José dos Campos,temperature,92,16.0,28.0,19.0,126.65
2024-01-20,BR,São José dos Campos,temperature,96,21.0,28.0,24.0,49.89
2024-06-25,BR,São José dos Campos,temperature,96,14.7,23.0,19.0,49.49
2024-07-17,BR,São José dos Campos,temperature,92,15.0,23.0,16.0,69.64
2024-08-04,BR,São José dos Campos,temperature,96,15.0,29.0,21.0,224.82
2024-01-09,BR,São José dos Campos,temperature,96,20.0,34.0,24.0,211.35
2024-01-16,BR,São José dos Campos,temperature,96,23.0,33.0,27.0,97.67
2024-01-31,BR,São José dos Campos,temperature,96,18.0,31.0,21.0,136.31
2024-05-29,BR,São José dos Campos,temperature,96,12.0,23.0,15.0,94.72
2024-06-07,BR,São José dos Campos,temperature,76,14.0,26.0,18.0,169.08
2024-07-21,BR,São José dos Campos,temperature,96,13.0,23.0,15.0,123.22
2024-11-02,BR,São José dos Campos,temperature,96,19.0,31.0,21.0,140.95
2024-11-26,BR,São José dos Campos,temperature,96,16.0,33.0,25.0,328.08
2024-02-12,BR,São José dos Campos,temperature,89,21.0,32.0,25.0,135.12
2024-03-02,BR,São José dos Campos,temperature,96,20.0,29.0,22.0,74.11
2024-07-01,BR,São José dos Campos,temperature,96,12.0,16.0,13.0,18.21
2024-07-08,BR,São José dos Campos,temperature,96,14.0,20.0,16.0,35.3
2024-11-10,BR,São José dos Campos,temperature,96,13.0,26.0,19.0,130.04
2024-02-22,BR,São José dos Campos,pm10,47,1.0,41.0,10.0,1140.36
2024-10-28,BR,São José dos Campos,pm10,44,1.0,24.0,10.0,389.57
2024-11-27,BR,São José dos Campos,pm10,58,12.0,47.0,27.0,758.25
2024-11-14,BR,São José dos Campos,pm10,46,3.0,20.0,8.0,162.52
2024-01-02,BR,São José dos Campos,pm10,45,1.0,54.0,15.0,1901.09
2024-01-24,BR,São José dos Campos,pm10,68,1.0,25.0,9.0,280.25
2024-04-28,BR,São José dos Campos,pm10,72,8.0,50.0,27.0,832.74
2024-05-12,BR,São José dos Campos,pm10,69,7.0,55.0,29.0,1174.86
2024-06-12,BR,São José dos Campos,pm10,68,1.0,85.0,30.0,2442.54
2024-07-18,BR,São José dos Campos,pm10,68,4.0,85.0,24.0,2705.77
2024-10-25,BR,São José dos Campos,pm10,47,1.0,47.0,10.0,876.45
2024-02-13,BR,São José dos Campos,pm10,46,2.0,43.0,12.0,843.11
2024-03-29,BR,São José dos Campos,pm10,47,1.0,37.0,10.0,802.41
2024-06-26,BR,São José dos Campos,pm10,70,2.0,79.0,28.0,3840.84
2024-09-25,BR,São José dos Campos,pm10,44,15.0,178.0,44.0,5252.83
2024-10-08,BR,São José dos Campos,pm10,47,3.0,59.0,27.0,1958.97
2024-03-12,BR,São José dos Campos,pm10,69,1.0,51.0,14.0,715.46
2024-07-02,BR,São José dos Campos,pm10,54,3.0,48.0,13.0,1354.48
2024-02-18,BR,São José dos Campos,pm10,44,1.0,55.0,10.0,818.79
2024-03-02,BR,São José dos Campos,pm10,49,1.0,21.0,10.0,204.67
2024-03-16,BR,São José dos Campos,pm10,57,9.0,51.0,24.0,479.87
2024-04-11,BR,São José dos Campos,pm10,48,3.0,56.0,20.0,1647.94
2024-05-11,BR,São José dos Campos,pm10,68,6.0,80.0,34.0,1707.75
2024-06-03,BR,São José dos Campos,pm10,60,2.0,61.0,20.0,1490.45
2024-01-04,BR,São José dos Campos,pm10,43,1.0,49.0,10.0,1352.18
2024-04-04,BR,São José dos Campos,pm10,72,5.0,57.0,22.0,1561.85
2024-04-18,BR,São José dos Campos,pm10,68,1.0,38.0,14.0,425.5
2024-07-28,BR,São José dos Campos,pm10,66,2.0,89.0,42.0,1800.55
2024-02-24,BR,São José dos Campos,pm10,47,1.0,48.0,13.0,1048.38
2024-03-20,BR,São José dos Campos,pm10,37,3.0,52.0,21.0,1236.95
2024-06-16,BR,São José dos Campos,pm10,65,5.0,69.0,31.0,1619.31
2024-09-22,BR,São José dos Campos,pm10,47,8.0,46.0,25.0,516.8
2024-10-15,BR,São José dos Campos,pm10,22,5.0,43.0,23.0,1413.94
2024-11-03,BR,São José dos Campos,pm10,69,2.0,39.0,12.0,523.52
