temperatura;pressao;altitude;umidade;co2;tempo_registro;regiao;;
31,59;92520,98;815,24;45;0;05/12/2024 14:30;Centro;;
31,59;92521,48;815,19;45;0,29;05/12/2024 14:29;Centro;;
31,58;92522,86;815,19;45;0,41;05/12/2024 14:29;Centro;;
31,58;92521,54;815,19;45;1,82;05/12/2024 14:29;Centro;;
31,58;92520,15;815,43;45;0;05/12/2024 14:29;Centro;;
31,57;92521,8;815,16;45;0;05/12/2024 14:29;Centro;;
31,57;92519,87;815,34;45;0;05/12/2024 14:29;Centro;;
31,57;92519,64;815,36;45;0,05;05/12/2024 14:29;Centro;;
31,57;92521,26;815,21;45;0;05/12/2024 14:29;Centro;;
31,57;92520,95;815,24;45;1,17;05/12/2024 14:29;Centro;;
31,56;92518,09;815,49;45;0;05/12/2024 14:29;Centro;;
31,56;92522,14;815,13;45;0;05/12/2024 14:29;Centro;;
31,56;92516,77;815,61;45;0;05/12/2024 14:29;Centro;;
31,56;92520,31;815,3;45;0;05/12/2024 14:28;Centro;;
31,56;92523,3;815,03;45;0;05/12/2024 14:28;Centro;;
31,56;92521,34;815,2;45;1,21;05/12/2024 14:28;Centro;;
31,56;92521,18;815,22;46;NULL;05/12/2024 14:28;Centro;;
31,56;92522,57;815,09;46;1,16;05/12/2024 14:28;Centro;;
31,56;92522,17;815,13;46;0;05/12/2024 14:28;Centro;;
31,56;92520,58;815,27;46;0;05/12/2024 14:28;Centro;;
31,55;92521,73;815,17;46;0;05/12/2024 14:28;Centro;;
31,55;92523,97;814,97;46;2,94;05/12/2024 14:28;Centro;;
31,54;92521,29;815,21;46;0;05/12/2024 14:28;Centro;;
31,54;92521,81;815,16;46;NULL;05/12/2024 14:28;Centro;;
31,54;92523,87;814,98;46;0;05/12/2024 14:28;Centro;;
31,54;92523,53;815,01;46;0;05/12/2024 14:27;Centro;;
31,54;92524,13;814,95;46;0,36;05/12/2024 14:27;Centro;;
31,54;92523,76;814,99;46;1,18;05/12/2024 14:27;Centro;;
31,55;92523,38;815,02;46;0,01;05/12/2024 14:27;Centro;;
31,55;92526,03;814,78;46;0,9;05/12/2024 14:27;Centro;;
31,55;92526,13;814,77;46;0;05/12/2024 14:27;Centro;;
31,55;92524,97;814,88;46;0;05/12/2024 14:27;Centro;;
31,56;92525,38;814,84;46;0;05/12/2024 14:27;Centro;;
31,56;92526,03;814,78;46;0,2;05/12/2024 14:27;Centro;;
31,55;92525,64;814,82;46;0,09;05/12/2024 14:27;Centro;;
31,55;92524,53;814,92;46;0;05/12/2024 14:27;Centro;;
31,55;92525,3;814,85;46;1,22;05/12/2024 14:27;Centro;;
31,55;92526,13;814,74;46;0;05/12/2024 14:26;Centro;;
31,56;92526,7;814,72;46;0;05/12/2024 14:26;Centro;;
31,55;92526,27;814,76;46;1,37;05/12/2024 14:26;Centro;;
31,55;92527,25;814,67;46;0;05/12/2024 14:26;Centro;;
31,54;92526,41;814,75;46;0;05/12/2024 14:26;Centro;;
31,55;92524,94;814,88;46;6,49;05/12/2024 14:26;Centro;;
31,55;92526,52;814,74;46;0;05/12/2024 14:26;Centro;;
31,54;92530,05;814,42;46;0;05/12/2024 14:26;Centro;;
31,54;92528,4;814,57;46;0,19;05/12/2024 14:26;Centro;;
31,54;92532,86;814,17;46;0;05/12/2024 14:26;Centro;;
31,54;92528,33;814,58;46;0;05/12/2024 14:26;Centro;;
